종목명,,"선물옵션
구분",,"최종
거래일",,행사가격,,"기초자산
기준가격",,,,잔존일수,,금리(%),,배당  현재가치,,변동성,,,이론가격,
"P 202309   380,000(  10)",,풋,,20230914,,"380,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,4.410000 ,
"P 202309   400,000(  10)",,풋,,20230914,,"400,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,20.020000 ,
"P 202309   420,000(  10)",,풋,,20230914,,"420,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,74.260000 ,
"P 202309   440,000(  10)",,풋,,20230914,,"440,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,220.370000 ,
"P 202309   460,000(  10)",,풋,,20230914,,"460,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,560.620000 ,
"P 202309   480,000(  10)",,풋,,20230914,,"480,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"1,262.220000 ",
"P 202309   500,000(  10)",,풋,,20230914,,"500,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"2,562.880000 ",
"P 202309   520,000(  10)",,풋,,20230914,,"520,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"4,755.280000 ",
"P 202309   540,000(  10)",,풋,,20230914,,"540,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"8,147.970000 ",
"P 202309   560,000(  10)",,풋,,20230914,,"560,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"13,012.390000 ",
"P 202309   580,000(  10)",,풋,,20230914,,"580,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"19,536.320000 ",
"P 202309   600,000(  10)",,풋,,20230914,,"600,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"27,802.900000 ",
"P 202309   620,000(  10)",,풋,,20230914,,"620,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"37,802.030000 ",
"P 202309   640,000(  10)",,풋,,20230914,,"640,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"49,950.650000 ",
"P 202309   660,000(  10)",,풋,,20230914,,"660,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"63,661.510000 ",
"P 202309   680,000(  10)",,풋,,20230914,,"680,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"78,625.780000 ",
"P 202309   700,000(  10)",,풋,,20230914,,"700,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"94,653.340000 ",
"P 202309   720,000(  10)",,풋,,20230914,,"720,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"111,969.070000 ",
"P 202309   760,000(  10)",,풋,,20230914,,"760,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"148,300.060000 ",
"P 202309   800,000(  10)",,풋,,20230914,,"800,000.00000000 ",,"607,000",,,,93 ,,3.750000 ,,0.000000 ,,0.279 ,,,"186,470.120000 ",
"P 202312   360,000(  10)",,풋,,20231214,,"360,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,80.660000 ,
"P 202312   380,000(  10)",,풋,,20231214,,"380,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,202.140000 ,
"P 202312   400,000(  10)",,풋,,20231214,,"400,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,446.840000 ,
"P 202312   420,000(  10)",,풋,,20231214,,"420,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,886.110000 ,
"P 202312   440,000(  10)",,풋,,20231214,,"440,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"1,727.570000 ",
"P 202312   460,000(  10)",,풋,,20231214,,"460,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"3,080.290000 ",
"P 202312   480,000(  10)",,풋,,20231214,,"480,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"5,055.420000 ",
"P 202312   500,000(  10)",,풋,,20231214,,"500,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"7,693.690000 ",
"P 202312   520,000(  10)",,풋,,20231214,,"520,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"11,556.030000 ",
"P 202312   560,000(  10)",,풋,,20231214,,"560,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"22,399.500000 ",
"P 202312   600,000(  10)",,풋,,20231214,,"600,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"38,767.820000 ",
"P 202312   640,000(  10)",,풋,,20231214,,"640,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"60,165.280000 ",
"P 202312   680,000(  10)",,풋,,20231214,,"680,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"86,203.380000 ",
"P 202312   720,000(  10)",,풋,,20231214,,"720,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"116,143.850000 ",
"P 202312   760,000(  10)",,풋,,20231214,,"760,000.00000000 ",,"607,000",,,,184 ,,3.750000 ,,0.000000 ,,0.279 ,,,"149,106.500000 ",
"P 202403   460,000(  10)",,풋,,20240314,,"460,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"6,270.080000 ",
"P 202403   480,000(  10)",,풋,,20240314,,"480,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"8,986.810000 ",
"P 202403   500,000(  10)",,풋,,20240314,,"500,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"12,817.510000 ",
"P 202403   520,000(  10)",,풋,,20240314,,"520,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"17,459.160000 ",
"P 202403   560,000(  10)",,풋,,20240314,,"560,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"29,860.440000 ",
"P 202403   600,000(  10)",,풋,,20240314,,"600,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"46,493.010000 ",
"P 202403   640,000(  10)",,풋,,20240314,,"640,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"67,273.280000 ",
"P 202403   680,000(  10)",,풋,,20240314,,"680,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"91,813.030000 ",
"P 202403   720,000(  10)",,풋,,20240314,,"720,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"119,709.970000 ",
"P 202403   760,000(  10)",,풋,,20240314,,"760,000.00000000 ",,"607,000",,,,275 ,,3.750000 ,,0.000000 ,,0.279 ,,,"150,889.900000 ",
"P 202406   480,000(  10)",,풋,,20240613,,"480,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"12,996.520000 ",
"P 202406   500,000(  10)",,풋,,20240613,,"500,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"17,035.030000 ",
"P 202406   520,000(  10)",,풋,,20240613,,"520,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"22,540.330000 ",
"P 202406   560,000(  10)",,풋,,20240613,,"560,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"35,701.250000 ",
"P 202406   600,000(  10)",,풋,,20240613,,"600,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"52,525.460000 ",
"P 202406   640,000(  10)",,풋,,20240613,,"640,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"72,760.650000 ",
"P 202406   680,000(  10)",,풋,,20240613,,"680,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"96,422.870000 ",
"P 202406   720,000(  10)",,풋,,20240613,,"720,000.00000000 ",,"607,000",,,,366 ,,3.750000 ,,0.000000 ,,0.279 ,,,"123,649.710000 ",
